Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
AppDynamics,appdynamics.com,"AppDynamics is a next generation application intelligence solution that simplifies the management of complex, business-critical apps.","1,229","1,202",27,2%,"1,056",173,16%,"547,281","548,882",0%,"548,813",0%,,,,,,15,408,2921,2008,Late,"Adage Capital Management,Altimeter Capital,Battery Ventures,ClearBridge Investments,General Atlantic,Greylock Partners,Industry Ventures,Institutional Venture Partners (IVP),Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,Sands Capital Ventures",$364.5M¾,11/30/15,"$158,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,marketing,marketing analytics",,Yes,Yes,Yes
apply-tech.com,apply-tech.com,Apply - Let your app fly. At the cutting edge of mobile technologies. Stand out from the crowd.,6,7,-1,-14%,,,,257,263,-2%,248,4%,,,,,,,,,2013,Exited (ipo),,Undisclosed,,Undisclosed,Tel Aviv,Tel Aviv,,,Israel,Asia,,"advertising,analytics,marketing,marketing analytics",,No,No,No
AppNexus,appnexus.com,AppNexus is a technology company whose cloud-based software platform enables and optimizes programmatic online advertising.,"1,066","1,061",5,0%,"1,060",6,1%,"2,326,436","2,380,310",-2%,"2,613,540",-11%,,,,,,23,214,4315,2007,Late,"Ben Horowitz,Deutsche Telekom,First Round Capital,Khosla Ventures,Kodiak Venture Partners,Marc Andreessen,Microsoft Ventures,Ron Conway,SV Angel,Technology Crossover Ventures,Tribeca Venture Partners,Venrock,WPP Ventures",$373.2M¾,4/15/15,"$62,700,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,enterprise software,finance,marketing,marketing analytics",,Yes,Yes,Yes
AppsFlyer,appsflyer.com,Find out what attracts new users to your app,216,205,11,5%,168,48,29%,"1,540,390","1,499,550",3%,"1,470,259",5%,,,,,,2,16,16,2011,C,"Deutsche Telekom Capital Partners,Eight Roads Ventures,Fidelity Growth Partners Europe,Goldman Sachs,Magma Venture Partners (Magma VC),Microsoft Ventures,Pitango Venture Capital,Qumra Capital",$83.1M¾,1/17/17,"$56,000,000 ",Herzliya,Herzliya,,NY,Israel,Asia,"Advertising,B2B,B2C","advertising,analytics,e-commerce,enterprise software,gaming,marketing,marketing analytics,mobile","android,app stores,ios,mobile advertising,sales",Yes,Yes,No
Aprimo,aprimo.com,Aprimo provides an enterprise marketing management solution that enables businesses to implement and manage online marketing activities.,577,568,9,2%,524,53,10%,73,122,-40%,175,-58%,,,,,,146,154,1494,1979,Exited (acquired),"Allos Ventures,Blue Chip Venture Company,Frazier Technology Ventures,Jordan, Edmiston Group,Sigma Partners",$14.5M¾,1/1/05,"$14,500,000 ",San Diego,San Diego,Indianapolis,,United States,North America,B2B,"advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",,No,No,No
ArborMetrix,arbormetrix.com,ArborMetrix delivers healthcare technology solutions focused on provider performance that accelerate clinical and financial improvement.,31,31,0,0%,27,4,15%,127,87,46%,93,37%,,,,,,44,16,615,2011,B,"Arboretum Ventures,RPM Ventures,Wolverine Venture Fund",$7.0M¾,7/16/13,"$7,000,000 ",Detroit,Ann Arbor,Detroit,MI,United States,North America,"B2B,SaaS","analytics,enterprise software,health it,healthcare,pharmaceuticals",,No,No,No
Area 1 Security,area1security.com,"Area 1 Security develops threat intelligence products that focus on eliminating targeted, socially engineered cyber attacks.",55,56,-1,-2%,49,6,12%,251,239,5%,140,79%,,,,,,17,33,368,2013,B,"Allegis Capital,Cowboy Ventures,Data Collective,Derek Smith,First Round Capital,Icon Ventures (formerly Jafco Ventures),Kleiner Perkins Caufield & Byers,Ray Rothrock",$25.5M¾,10/14/15,"$15,000,000 ",Bay Area,Redwood City,Bay Area,CA,United States,North America,B2B,"analytics,enterprise software,physical security,security",big data,No,No,No
Ariosa Diagnostics,ariosadx.com,Tandem Diagnostics was added in 2013.,157,158,-1,-1%,192,-35,-18%,"3,511","3,797",-8%,"4,249",-17%,,,,,,62,59,3811,2010,C,"Domain Associates,Meritech Capital Partners,Venrock",$52.7M¾,1/9/12,"$52,700,000 ",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,healthcare,medical diagnostics,pharmaceuticals",,No,No,No
Artegic AG,artegic.com,"Know-how, technology, IT integration and operation for marketing automation and best-in-class dialogue marketing.",28,,,,,,,,,,,,,,,,,2,1,1,1994,Late,Main Capital Partners,$0¾,1/11/17,Undisclosed,Bonn,Bonn,,,Germany,Europe,,"analytics,marketing,marketing analytics",,No,No,No
Arts & Analytics,artsandanaytics.com,,,,,,,,,,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Boulder,,,,,,"B2B,B2C","analytics,finance,fitness and wellness,healthcare,pharmaceuticals,physical security,security","big data,crm,loyalty / rewards,productivity,relationship management",No,No,No
Ascential Software,ascential.com,Ascential Plc is an international business-to-business media company.,,,,,,,,,,,,,,,,,,,,,1887,Exited (acquired),,Undisclosed,,Undisclosed,London,London,,,United Kingdom,Europe,,"analytics,enterprise software,software development,storage",,No,No,No
Asia Pacific Digital,asiapacificdigital.com,"We are Asia Pacific's biggest independent pure play digital services provider combining technology, performance marketing, data and engagement.",41,43,-2,-5%,51,-10,-20%,9,45,-80%,701,-99%,,,,,,34,32,424,2007,Exited (ipo),,$4.1M¾,5/14/14,"$4,099,999 ",Singapore,Singapore,,,Singapore,Asia,"Advertising,B2B","advertising,analytics,e-commerce,human resources hr,marketing,marketing analytics",agency,No,No,No
Aspen Marketing Services,aspenms.com,Full-Service Marketing Agency,613,631,-18,-3%,730,-117,-16%,419,423,-1%,343,22%,,,,,,,,,1986,Exited (acquired),Staley Capital Advisors,$0¾,,Undisclosed,Chicago,West Chicago,Chicago,IL,United States,North America,,"analytics,automotive,marketing",,No,No,No
Aspira Networks,aspiranetworks.com,Mobile Location Based Advertisement,1,1,0,0%,2,-1,-50%,3,3,0%,3,0%,,,,,,,,,2009,Exited (other),,Undisclosed,,Undisclosed,Palo Alto,Palo Alto,Philadelphia,CA,United States,North America,,"analytics,mobile",wireless,No,No,No
AtScale,atscale.com,The world's first OLAP server for Hadoop,65,65,0,0%,48,17,35%,"5,807","5,573",4%,"3,901",49%,,,,,,10,35,242,2013,B,"AME Cloud Ventures,Comcast Ventures,Storm Ventures,UMC Capital,XSeed Capital",$20.0M¾,5/16/16,"$11,000,000 ",Bay Area,San Mateo,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,data storage,software development,storage",data analysis,No,No,No
Attentive.ly,attentive.ly,"Attentive.ly drives engagement with your campaigns by turning your quiet supporters into vocal advocates. We show organizations what supporters are saying on social media, and who is influential, so you can better target via email and social media to radically increase engagement and reach of your campaigns. Attentive.ly powers influencer engagement, fundraising, advocacy campaigns and multi-channel delivery of real-time, personalized communications. We have worked with over 200 brands across the non-profit and political space helping them understand their supporters and boost engagement.",12,12,0,0%,14,-2,-14%,"3,409","3,664",-7%,"3,521",-3%,,,,,,28,-1,16,2012,Exited (acquired),"Atlanta Technology Angels,Drew Bernard,New Media Ventures,Serious Change",$1.2M¾,10/20/14,"$750,000 ",Philadelphia,Wilmington,Philadelphia,DE,United States,North America,B2B,"analytics,email,finance,human resources hr,marketing,marketing analytics,software development","crm,email,email marketing,pr,productivity,relationship management,social media,social media marketing",No,No,No
Attunity,attunity.com,"Attunity provides information-availability software solutions enabling access, sharing and distribution of data in various platforms.",209,200,9,5%,159,50,31%,"22,678","22,008",3%,"19,801",15%,,,,,,65,110,1290,,Exited (ipo),"Microsoft,Viola Group",$10.5M¾,9/21/11,"$3,500,000 ",Boston,Burlington,Boston,MA,United States,North America,B2B,"analytics,data storage,information security,marketing,marketing analytics,security,storage",,No,No,No
Augury Inc.,augury.com,"Augury is a New York- and Israel-based company that is bringing predictive maintenance technology to new markets. Built on the idea that each machine has a unique acoustic fingerprint, Augury has developed technology that listens to the machine, analyzes the data and catches any malfunctions before they arise. The Augury solution can be applied to HVAC in industrial factories as well as commercial facilities.",55,54,1,2%,42,13,31%,418,114,267%,18,2222%,,,,,,16,42,476,2012,Late,"First Round Capital,Formation 8,Hartford Steam Boiler,Lerer Hippeau Ventures,Pritzker Group Venture Capital",$7.0M¾,11/10/15,Undisclosed,Haifa,Haifa,,,Israel,Asia,B2B,"analytics,automotive,food & beverages,hardware,human resources hr,internet of things","big data,internet of things",No,No,No
Australian Marketing Institute,ami.org.au,,54,56,-2,-4%,54,0,0%,"6,850",,,,,,,,,,,,,1933,Exited (other),,Undisclosed,,Undisclosed,Australia,,,,Australia,Oceania,,"analytics,education,marketing,marketing analytics",,No,No,No
Autogrid,auto-grid.com,"AutoGrid manages 2000 MW of DERs with the energy industry's first comprehensive flexibility management solution for demand response, DERMS and virtual power",62,59,3,5%,58,4,7%,428,471,-9%,484,-12%,,,,,,6,12,33,2011,Late,"E.ON,Energy Impact Partners,Envision Ventures,Foundation Capital,Stanford University,Total Energy Ventures,Voyager Capital",$41.8M¾,9/16/16,Undisclosed,Bay Area,Redwood Shores,Bay Area,CA,United States,North America,B2B,"analytics,cleantech,data storage,energy,enterprise software,hardware,hardware peripherals,internet of things,marketing,solar power,storage,wind power","internet of things,smart grid",No,No,No
Autopilot,autopilothq.com,Autopilot is easy-to-use software for multi-channel marketing automation. Sign up instantly for a free 30 day trial. Plans start at $20/mo.,40,40,0,0%,32,8,25%,"373,251","361,616",3%,"325,169",15%,,,,,,19,13,70,2012,C,"Blackbird Ventures,Katrina Garnett,Rembrandt Venture Partners,Salesforce Ventures,Southern Cross Venture Partners,Stage One Capital,Terry Garnett,Tim Draper",$23.5M¾,7/30/15,"$7,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,email,human resources hr,marketing,marketing analytics","sales,small & medium sized business",No,No,No
Avigilon Corporation,avigilon.com,Avigilon (TSX: AVO) is defining the future of protection through innovative high-definition surveillance solutions.,903,904,-1,0%,883,20,2%,"111,501","112,794",-1%,"108,065",3%,,45,,99,,,,,2004,Late,BC Discovery Fund,$0¾,,Undisclosed,Vancouver,Vancouver,,,Canada,North America,B2B,"analytics,hardware,hardware peripherals,information security,physical security,security",,Yes,No,Yes
awe.sm,awe.sm,awe.sm develops tools that measures the performance of social marketing campaigns.,0,0,0,,1,-1,-100%,"6,337","5,814",9%,"8,535",-26%,,,,,,75,-14,284,2009,Exited (acquired),"Apricot Capital,Neu Venture Capital,Upfront Ventures",$1.0M¾,12/1/10,"$1,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"advertising,analytics,healthcare,marketing,marketing analytics,software development,telecommunications","apis,developer apis,health & wellness,performance marketing,small & medium sized business,social media,social media marketing",No,No,No
Axtria,axtria.com,"Axtria provides data analytics and software products designed to advance the sales and marketing decisions of its customers in life sciences, finance, retail, and technology industries, while also mitigating their business risk.",713,690,23,3%,571,142,25%,"15,170","14,708",3%,"12,457",22%,,,,,,20,355,4374,2009,C,"Amarpreet Sawhney,Helion Venture Partners,Rick Braddock,Salil Deshpande",$41.6M¾,7/7/15,"$30,000,000 ",New York,Berkeley Heights,New York,NJ,United States,North America,"B2B,Consulting","analytics,consulting,enterprise software,healthcare,human resources hr,marketing,marketing analytics,pharmaceuticals","business intelligence,sales",No,No,No
Azalead,azalead.com,Azalead helps B2B marketers sell to target accounts faster with Account Based Marketing Software.,39,40,-1,-3%,37,2,5%,"389,102","377,316",3%,"374,008",4%,,,,,,15,12,119,2013,B,"Aurinvest,IDInvest Partners",$7.1M¾,12/14/15,"$4,911,750 ",Paris,Paris,,,France,Europe,"B2B,SaaS","advertising,analytics,enterprise software,finance,human resources hr,marketing,marketing analytics",sales,Yes,No,Yes
BackOffice Associates,boaweb.com,"Products for data quality, data migration and information governance supported within software platforms designed specifically for Data Stewardship.",685,672,13,2%,647,38,6%,"3,176","3,583",-11%,"4,627",-31%,,,,,,110,320,6699,1996,Late,Goldman Sachs,$30.0M¾,1/10/08,"$30,000,000 ",South Harwich,South Harwich,,MA,United States,North America,B2B,"analytics,data storage,finance,human resources hr,information security,marketing,marketing analytics,security,storage",,No,No,No
Bazaarvoice,bazaarvoice.com,"Bazaarvoice connects brands, retailers and consumers in the world's largest shopper network, delivering ROI through reviews, analytics and targeted media.","1,021","1,012",9,1%,973,48,5%,"853,169","856,838",0%,"841,414",1%,,,,,,105,176,2936,2005,Exited (ipo),"Austin Ventures,Battery Ventures,Constantin Partners,First Round Capital,Floodgate Fund,General Atlantic,Kindred Partners,Level Equity,Signia Venture Partners",$19.9M¾,6/18/08,"$7,100,000 ",Austin,Austin,Austin,TX,United States,North America,"B2B,B2C,SaaS","advertising,analytics,e-commerce,enterprise software,marketing,marketing analytics","social commerce,social media",No,No,No
Beautiful Communications,beautiful.uk.com,Just another WordPress site,2,,,,,,,9,,,,,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,,,,,,,,"advertising,analytics,finance,human resources hr,marketing,marketing analytics",,No,No,No
Beckon,beckon.com,"Finally, marketing has its true north--Beckon is The Source of Truth for Marketing(tm). Rock-solid data management and reporting for better, faster decisions.",83,84,-1,-1%,76,7,9%,"13,656","12,143",12%,"8,013",70%,,,,,,5,2,16,2011,C,"August Capital,Canaan Partners,El Dorado Ventures,George Kaiser Family Foundation,Venrock",$33.0M¾,9/27/16,"$10,000,000 ",Bay Area,San Mateo,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,finance,human resources hr,market research,marketing,marketing analytics",big data,No,No,No
Bertie Richards,bertierichards.co.uk,,0,1,-1,-100%,1,-1,-100%,2,8,-75%,9,-78%,,,,,,,,,2013,Exited (other),,Undisclosed,,Undisclosed,Durham,Durham,,,United Kingdom,Europe,"B2B,B2C,Consulting","analytics,e-commerce,network / hosting / infrastructure,retail","augmented reality,big data",No,No,No
Best Seo Company Philippines,bestseocompanyphilippines.com,"Best SEO Company Philippines is your SEO Company, Virtual Assistant and Web Design Company with solutions for business owners.",,,,,,,,78,56,39%,64,22%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,Dumaguete City,Dumaguete City,,,Philippines,Asia,Consulting,"analytics,human resources hr,marketing,marketing analytics",seo,No,No,No
Best SEO Service,bestseoservice.in,"Best SEO Service is a Leading SEO / SMO Digital Marketing organization which is located in Bangalore, India.",,,,,,,,104,158,-34%,237,-56%,,,,,,,,,2010,Exited (ipo),,Undisclosed,,Undisclosed,Bangalore,Bangalore,,,India,Asia,B2B,"analytics,marketing,marketing analytics","digital marketing,seo,web design",No,No,No
betaworks,betaworks.com,Betaworks is a start-up studio based in New York that make essential products that thoughtfully combine art and science.,37,43,-6,-14%,53,-16,-30%,"27,904","25,389",10%,"24,701",13%,,,,,,37,-7,422,2008,C,"AOL Ventures,DFJ Growth,Digital Garage,Founder Collective,Gordon Crovitz,Howard Lindzon,Intel Capital,Joshua Stylman,Lerer Hippeau Ventures,Lerer Ventures,Peter Hershberg,Pilot Group,RRE Ventures,Ron Conway,SV Angel,SoftBank Capital,The New York Times,White Star Capital,e.ventures",$67.5M¾,2/12/14,"$20,000,000 ",New York,New York,New York,NY,United States,North America,"B2B,B2C","analytics,media,mobile","big data,social media",Yes,Yes,No
